"k","Moran.I","p.value","Subgraphs"
1,0.728706123978705,"0.0000000000",633
2,0.696707959443395,"0.0000000000",2
3,0.668608668583413,"0.0000000000",1
4,0.652806212691576,"0.0000000000",1
5,0.645207335566205,"0.0000000000",1
6,0.634937998169843,"0.0000000000",1
7,0.625453667477582,"0.0000000000",1
8,0.619630379773071,"0.0000000000",1
9,0.613356502903284,"0.0000000000",1
10,0.60484621002434,"0.0000000000",1
11,0.59853624528107,"0.0000000000",1
12,0.591429568381272,"0.0000000000",1
13,0.586457677928645,"0.0000000000",1
14,0.580753241109168,"0.0000000000",1
15,0.574388819835147,"0.0000000000",1
16,0.570118088651811,"0.0000000000",1
17,0.565110418236463,"0.0000000000",1
18,0.561319099161013,"0.0000000000",1
19,0.557099092861773,"0.0000000000",1
20,0.553258746224507,"0.0000000000",1
